,name,E_O,E_H,E_CO2,E_CO,Substrate,Dopant,sub_formula_pretty,sub_material_id,sub_composition,sub_MagpieData mean Number,sub_MagpieData mean MendeleevNumber,sub_MagpieData mean AtomicWeight,sub_MagpieData mean MeltingT,sub_MagpieData mean Column,sub_MagpieData mean Row,sub_MagpieData mean CovalentRadius,sub_MagpieData mean Electronegativity,sub_MagpieData mean NsValence,sub_MagpieData mean NpValence,sub_MagpieData mean NdValence,sub_MagpieData mean NfValence,sub_MagpieData mean NValence,sub_MagpieData mean NsUnfilled,sub_MagpieData mean NpUnfilled,sub_MagpieData mean NdUnfilled,sub_MagpieData mean NfUnfilled,sub_MagpieData mean NUnfilled,sub_MagpieData mean GSvolume_pa,sub_MagpieData mean GSbandgap,sub_MagpieData mean GSmagmom,sub_MagpieData mean SpaceGroupNumber,sub_transition metal fraction,sub_band center,sub_avg s valence electrons,sub_avg p valence electrons,sub_avg d valence electrons,sub_avg f valence electrons,sub_frac s valence electrons,sub_frac p valence electrons,sub_frac d valence electrons,sub_frac f valence electrons,dop_formula_pretty,dop_material_id,dop_composition,dop_MagpieData mean Number,dop_MagpieData mean MendeleevNumber,dop_MagpieData mean AtomicWeight,dop_MagpieData mean MeltingT,dop_MagpieData mean Column,dop_MagpieData mean Row,dop_MagpieData mean CovalentRadius,dop_MagpieData mean Electronegativity,dop_MagpieData mean NsValence,dop_MagpieData mean NpValence,dop_MagpieData mean NdValence,dop_MagpieData mean NfValence,dop_MagpieData mean NValence,dop_MagpieData mean NsUnfilled,dop_MagpieData mean NpUnfilled,dop_MagpieData mean NdUnfilled,dop_MagpieData mean NfUnfilled,dop_MagpieData mean NUnfilled,dop_MagpieData mean GSvolume_pa,dop_MagpieData mean GSbandgap,dop_MagpieData mean GSmagmom,dop_MagpieData mean SpaceGroupNumber,dop_transition metal fraction,dop_band center,dop_avg s valence electrons,dop_avg p valence electrons,dop_avg d valence electrons,dop_avg f valence electrons,dop_frac s valence electrons,dop_frac p valence electrons,dop_frac d valence electrons,dop_frac f valence electrons
22,Au_Ta,-1.07215,-1.54017,0.211358,0.277347,Au,Ta,Au,mp-81,Au1,79.0,66.0,196.966569,1337.33,11.0,6.0,136.0,2.54,1.0,0.0,10.0,14.0,25.0,1.0,0.0,0.0,0.0,1.0,16.7,0.0,0.0,225.0,0.0,5.767516583747927,1.0,0.0,10.0,14.0,0.04,0.0,0.4,0.56,Ta,mp-569794,Ta1,73.0,48.0,180.94788,3290.0,5.0,6.0,170.0,1.5,2.0,0.0,3.0,14.0,19.0,0.0,0.0,7.0,0.0,7.0,18.12,0.0,0.0,229.0,1.0,4.104477611940299,2.0,0.0,3.0,14.0,0.10526315789473684,0.0,0.15789473684210525,0.7368421052631579
23,Au_Tc,-0.19715,-0.3443,0.1288,-2.3868,Au,Tc,Au,mp-81,Au1,79.0,66.0,196.966569,1337.33,11.0,6.0,136.0,2.54,1.0,0.0,10.0,14.0,25.0,1.0,0.0,0.0,0.0,1.0,16.7,0.0,0.0,225.0,0.0,5.767516583747927,1.0,0.0,10.0,14.0,0.04,0.0,0.4,0.56,Tc,mp-113,Tc1,43.0,53.0,98.0,2430.0,7.0,5.0,147.0,1.9,2.0,0.0,5.0,0.0,7.0,0.0,0.0,5.0,0.0,5.0,14.285,0.0,0.0,194.0,1.0,3.9127280265339963,2.0,0.0,5.0,0.0,0.2857142857142857,0.0,0.7142857142857143,0.0
24,Au_V,-0.84224,0.213106,0.122,-1.64636,Au,V,Au,mp-81,Au1,79.0,66.0,196.966569,1337.33,11.0,6.0,136.0,2.54,1.0,0.0,10.0,14.0,25.0,1.0,0.0,0.0,0.0,1.0,16.7,0.0,0.0,225.0,0.0,5.767516583747927,1.0,0.0,10.0,14.0,0.04,0.0,0.4,0.56,V,mp-146,V1,23.0,46.0,50.9415,2183.0,5.0,4.0,153.0,1.63,2.0,0.0,3.0,0.0,5.0,0.0,0.0,7.0,0.0,7.0,13.01,0.0,0.0,229.0,1.0,3.6354684908789383,2.0,0.0,3.0,0.0,0.4,0.0,0.6,0.0
25,Au_W,-1.17238,-2.09188,-0.19484,0.212967,Au,W,Au,mp-81,Au1,79.0,66.0,196.966569,1337.33,11.0,6.0,136.0,2.54,1.0,0.0,10.0,14.0,25.0,1.0,0.0,0.0,0.0,1.0,16.7,0.0,0.0,225.0,0.0,5.767516583747927,1.0,0.0,10.0,14.0,0.04,0.0,0.4,0.56,W,mp-91,W1,74.0,51.0,183.84,3695.0,6.0,6.0,162.0,2.36,2.0,0.0,4.0,14.0,20.0,0.0,0.0,6.0,0.0,6.0,16.05,0.0,0.0,229.0,1.0,4.397802653399668,2.0,0.0,4.0,14.0,0.1,0.0,0.2,0.7
26,Cu_Co,-0.14784,-0.21505,-0.4628,-2.3666,Cu,Co,Cu,mp-30,Cu1,29.0,64.0,63.546,1357.77,11.0,4.0,132.0,1.9,1.0,0.0,10.0,0.0,11.0,1.0,0.0,0.0,0.0,1.0,11.07,0.0,0.0,225.0,1.0,4.477093698175787,1.0,0.0,10.0,0.0,0.09090909090909091,0.0,0.9090909090909091,0.0,Co,mp-102,Co1,27.0,58.0,58.933195,1768.0,9.0,4.0,126.0,1.88,2.0,0.0,7.0,0.0,9.0,0.0,0.0,3.0,0.0,3.0,10.245,0.0,1.5484712,194.0,1.0,4.270833333333333,2.0,0.0,7.0,0.0,0.2222222222222222,0.0,0.7777777777777778,0.0
27,Cu_Cr,-1.16078,-0.06876,-0.865,-2.21112,Cu,Cr,Cu,mp-30,Cu1,29.0,64.0,63.546,1357.77,11.0,4.0,132.0,1.9,1.0,0.0,10.0,0.0,11.0,1.0,0.0,0.0,0.0,1.0,11.07,0.0,0.0,225.0,1.0,4.477093698175787,1.0,0.0,10.0,0.0,0.09090909090909091,0.0,0.9090909090909091,0.0,Cr,mp-90,Cr1,24.0,49.0,51.9961,2180.0,6.0,4.0,139.0,1.66,1.0,0.0,5.0,0.0,6.0,1.0,0.0,5.0,0.0,6.0,11.19,0.0,0.0,229.0,1.0,3.7168325041459367,1.0,0.0,5.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0
28,Cu_Fe,-0.51006,-0.2156,-0.6722,-2.54118,Cu,Fe,Cu,mp-30,Cu1,29.0,64.0,63.546,1357.77,11.0,4.0,132.0,1.9,1.0,0.0,10.0,0.0,11.0,1.0,0.0,0.0,0.0,1.0,11.07,0.0,0.0,225.0,1.0,4.477093698175787,1.0,0.0,10.0,0.0,0.09090909090909091,0.0,0.9090909090909091,0.0,Fe,mp-13,Fe1,26.0,55.0,55.845,1811.0,8.0,4.0,132.0,1.83,2.0,0.0,6.0,0.0,8.0,0.0,0.0,4.0,0.0,4.0,10.73,0.0,2.1106628,229.0,1.0,4.032960199004975,2.0,0.0,6.0,0.0,0.25,0.0,0.75,0.0
29,Cu_Ir,0.407833,-0.58578,-0.2194,-2.5097,Cu,Ir,Cu,mp-30,Cu1,29.0,64.0,63.546,1357.77,11.0,4.0,132.0,1.9,1.0,0.0,10.0,0.0,11.0,1.0,0.0,0.0,0.0,1.0,11.07,0.0,0.0,225.0,1.0,4.477093698175787,1.0,0.0,10.0,0.0,0.09090909090909091,0.0,0.9090909090909091,0.0,Ir,mp-101,Ir1,77.0,60.0,192.217,2739.0,9.0,6.0,141.0,2.2,2.0,0.0,7.0,14.0,23.0,0.0,0.0,3.0,0.0,3.0,14.21,0.0,0.0,225.0,1.0,5.343076285240464,2.0,0.0,7.0,14.0,0.08695652173913043,0.0,0.30434782608695654,0.6086956521739131
30,Cu_Mn,-0.64865,-0.15586,-0.7911,-2.47534,Cu,Mn,Cu,mp-30,Cu1,29.0,64.0,63.546,1357.77,11.0,4.0,132.0,1.9,1.0,0.0,10.0,0.0,11.0,1.0,0.0,0.0,0.0,1.0,11.07,0.0,0.0,225.0,1.0,4.477093698175787,1.0,0.0,10.0,0.0,0.09090909090909091,0.0,0.9090909090909091,0.0,Mn,mp-35,Mn1,25.0,52.0,54.938045,1519.0,7.0,4.0,139.0,1.55,2.0,0.0,5.0,0.0,7.0,0.0,0.0,5.0,0.0,5.0,10.4875862069,0.0,0.000310120689655,217.0,1.0,3.7173507462686564,2.0,0.0,5.0,0.0,0.2857142857142857,0.0,0.7142857142857143,0.0
31,Cu_Mo,-1.25155,-0.73485,-0.7996,-2.23833,Cu,Mo,Cu,mp-30,Cu1,29.0,64.0,63.546,1357.77,11.0,4.0,132.0,1.9,1.0,0.0,10.0,0.0,11.0,1.0,0.0,0.0,0.0,1.0,11.07,0.0,0.0,225.0,1.0,4.477093698175787,1.0,0.0,10.0,0.0,0.09090909090909091,0.0,0.9090909090909091,0.0,Mo,mp-129,Mo1,42.0,50.0,95.96,2896.0,6.0,5.0,154.0,2.16,1.0,0.0,5.0,0.0,6.0,1.0,0.0,5.0,0.0,6.0,15.69,0.0,0.0,229.0,1.0,3.918946932006633,1.0,0.0,5.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0
32,Cu_Os,-0.13151,-0.60824,-0.5394,-2.86272,Cu,Os,Cu,mp-30,Cu1,29.0,64.0,63.546,1357.77,11.0,4.0,132.0,1.9,1.0,0.0,10.0,0.0,11.0,1.0,0.0,0.0,0.0,1.0,11.07,0.0,0.0,225.0,1.0,4.477093698175787,1.0,0.0,10.0,0.0,0.09090909090909091,0.0,0.9090909090909091,0.0,Os,mp-49,Os1,76.0,57.0,190.23,3306.0,8.0,6.0,144.0,2.2,2.0,0.0,6.0,14.0,22.0,0.0,0.0,4.0,0.0,4.0,14.09,0.0,0.0,194.0,1.0,4.903088723051409,2.0,0.0,6.0,14.0,0.09090909090909091,0.0,0.2727272727272727,0.6363636363636364
33,Cu_Re,-1.15528,-0.50853,-0.7315,-2.78193,Cu,Re,Cu,mp-30,Cu1,29.0,64.0,63.546,1357.77,11.0,4.0,132.0,1.9,1.0,0.0,10.0,0.0,11.0,1.0,0.0,0.0,0.0,1.0,11.07,0.0,0.0,225.0,1.0,4.477093698175787,1.0,0.0,10.0,0.0,0.09090909090909091,0.0,0.9090909090909091,0.0,Re,mp-1186901,Re1,75.0,54.0,186.207,3459.0,7.0,6.0,151.0,1.9,2.0,0.0,5.0,14.0,21.0,0.0,0.0,5.0,0.0,5.0,14.655,0.0,0.0,194.0,1.0,4.013785240464345,2.0,0.0,5.0,14.0,0.09523809523809523,0.0,0.23809523809523808,0.6666666666666666
34,Cu_Ru,0.388724,-0.30908,-0.5058,-2.54854,Cu,Ru,Cu,mp-30,Cu1,29.0,64.0,63.546,1357.77,11.0,4.0,132.0,1.9,1.0,0.0,10.0,0.0,11.0,1.0,0.0,0.0,0.0,1.0,11.07,0.0,0.0,225.0,1.0,4.477093698175787,1.0,0.0,10.0,0.0,0.09090909090909091,0.0,0.9090909090909091,0.0,Ru,mp-33,Ru1,44.0,56.0,101.07,2607.0,8.0,5.0,146.0,2.2,1.0,0.0,7.0,0.0,8.0,1.0,0.0,3.0,0.0,4.0,13.51,0.0,0.0,194.0,1.0,4.205534825870647,1.0,0.0,7.0,0.0,0.125,0.0,0.875,0.0
35,Cu_Ta,-1.77647,-0.2489,-1.1292,-1.86769,Cu,Ta,Cu,mp-30,Cu1,29.0,64.0,63.546,1357.77,11.0,4.0,132.0,1.9,1.0,0.0,10.0,0.0,11.0,1.0,0.0,0.0,0.0,1.0,11.07,0.0,0.0,225.0,1.0,4.477093698175787,1.0,0.0,10.0,0.0,0.09090909090909091,0.0,0.9090909090909091,0.0,Ta,mp-569794,Ta1,73.0,48.0,180.94788,3290.0,5.0,6.0,170.0,1.5,2.0,0.0,3.0,14.0,19.0,0.0,0.0,7.0,0.0,7.0,18.12,0.0,0.0,229.0,1.0,4.104477611940299,2.0,0.0,3.0,14.0,0.10526315789473684,0.0,0.15789473684210525,0.7368421052631579
36,Cu_Tc,-0.74554,-0.25052,-0.6805,-2.54647,Cu,Tc,Cu,mp-30,Cu1,29.0,64.0,63.546,1357.77,11.0,4.0,132.0,1.9,1.0,0.0,10.0,0.0,11.0,1.0,0.0,0.0,0.0,1.0,11.07,0.0,0.0,225.0,1.0,4.477093698175787,1.0,0.0,10.0,0.0,0.09090909090909091,0.0,0.9090909090909091,0.0,Tc,mp-113,Tc1,43.0,53.0,98.0,2430.0,7.0,5.0,147.0,1.9,2.0,0.0,5.0,0.0,7.0,0.0,0.0,5.0,0.0,5.0,14.285,0.0,0.0,194.0,1.0,3.9127280265339963,2.0,0.0,5.0,0.0,0.2857142857142857,0.0,0.7142857142857143,0.0
37,Cu_V,-1.40356,0.027146,-0.9254,-1.81855,Cu,V,Cu,mp-30,Cu1,29.0,64.0,63.546,1357.77,11.0,4.0,132.0,1.9,1.0,0.0,10.0,0.0,11.0,1.0,0.0,0.0,0.0,1.0,11.07,0.0,0.0,225.0,1.0,4.477093698175787,1.0,0.0,10.0,0.0,0.09090909090909091,0.0,0.9090909090909091,0.0,V,mp-146,V1,23.0,46.0,50.9415,2183.0,5.0,4.0,153.0,1.63,2.0,0.0,3.0,0.0,5.0,0.0,0.0,7.0,0.0,7.0,13.01,0.0,0.0,229.0,1.0,3.6354684908789383,2.0,0.0,3.0,0.0,0.4,0.0,0.6,0.0
38,Cu_W,-1.78465,-0.39129,-0.9721,-2.43821,Cu,W,Cu,mp-30,Cu1,29.0,64.0,63.546,1357.77,11.0,4.0,132.0,1.9,1.0,0.0,10.0,0.0,11.0,1.0,0.0,0.0,0.0,1.0,11.07,0.0,0.0,225.0,1.0,4.477093698175787,1.0,0.0,10.0,0.0,0.09090909090909091,0.0,0.9090909090909091,0.0,W,mp-91,W1,74.0,51.0,183.84,3695.0,6.0,6.0,162.0,2.36,2.0,0.0,4.0,14.0,20.0,0.0,0.0,6.0,0.0,6.0,16.05,0.0,0.0,229.0,1.0,4.397802653399668,2.0,0.0,4.0,14.0,0.1,0.0,0.2,0.7
39,Ni_Co,1.216609,-0.20635,-0.07,-2.15709,Ni,Co,Ni,mp-23,Ni1,28.0,61.0,58.6934,1728.0,10.0,4.0,124.0,1.91,2.0,0.0,8.0,0.0,10.0,0.0,0.0,2.0,0.0,2.0,10.32,0.0,0.5953947,225.0,1.0,4.400393864013267,2.0,0.0,8.0,0.0,0.2,0.0,0.8,0.0,Co,mp-102,Co1,27.0,58.0,58.933195,1768.0,9.0,4.0,126.0,1.88,2.0,0.0,7.0,0.0,9.0,0.0,0.0,3.0,0.0,3.0,10.245,0.0,1.5484712,194.0,1.0,4.270833333333333,2.0,0.0,7.0,0.0,0.2222222222222222,0.0,0.7777777777777778,0.0
40,Ni_Cr,-0.14151,0.163051,-0.4421,-1.61682,Ni,Cr,Ni,mp-23,Ni1,28.0,61.0,58.6934,1728.0,10.0,4.0,124.0,1.91,2.0,0.0,8.0,0.0,10.0,0.0,0.0,2.0,0.0,2.0,10.32,0.0,0.5953947,225.0,1.0,4.400393864013267,2.0,0.0,8.0,0.0,0.2,0.0,0.8,0.0,Cr,mp-90,Cr1,24.0,49.0,51.9961,2180.0,6.0,4.0,139.0,1.66,1.0,0.0,5.0,0.0,6.0,1.0,0.0,5.0,0.0,6.0,11.19,0.0,0.0,229.0,1.0,3.7168325041459367,1.0,0.0,5.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0
41,Ni_Fe,0.669756,-0.69144,-0.2006,-4.42599,Ni,Fe,Ni,mp-23,Ni1,28.0,61.0,58.6934,1728.0,10.0,4.0,124.0,1.91,2.0,0.0,8.0,0.0,10.0,0.0,0.0,2.0,0.0,2.0,10.32,0.0,0.5953947,225.0,1.0,4.400393864013267,2.0,0.0,8.0,0.0,0.2,0.0,0.8,0.0,Fe,mp-13,Fe1,26.0,55.0,55.845,1811.0,8.0,4.0,132.0,1.83,2.0,0.0,6.0,0.0,8.0,0.0,0.0,4.0,0.0,4.0,10.73,0.0,2.1106628,229.0,1.0,4.032960199004975,2.0,0.0,6.0,0.0,0.25,0.0,0.75,0.0
42,Ni_Ir,1.289543,-0.05726,-0.1664,-1.94133,Ni,Ir,Ni,mp-23,Ni1,28.0,61.0,58.6934,1728.0,10.0,4.0,124.0,1.91,2.0,0.0,8.0,0.0,10.0,0.0,0.0,2.0,0.0,2.0,10.32,0.0,0.5953947,225.0,1.0,4.400393864013267,2.0,0.0,8.0,0.0,0.2,0.0,0.8,0.0,Ir,mp-101,Ir1,77.0,60.0,192.217,2739.0,9.0,6.0,141.0,2.2,2.0,0.0,7.0,14.0,23.0,0.0,0.0,3.0,0.0,3.0,14.21,0.0,0.0,225.0,1.0,5.343076285240464,2.0,0.0,7.0,14.0,0.08695652173913043,0.0,0.30434782608695654,0.6086956521739131
43,Ni_Mn,0.163913,0.251494,-0.1165,-1.42178,Ni,Mn,Ni,mp-23,Ni1,28.0,61.0,58.6934,1728.0,10.0,4.0,124.0,1.91,2.0,0.0,8.0,0.0,10.0,0.0,0.0,2.0,0.0,2.0,10.32,0.0,0.5953947,225.0,1.0,4.400393864013267,2.0,0.0,8.0,0.0,0.2,0.0,0.8,0.0,Mn,mp-35,Mn1,25.0,52.0,54.938045,1519.0,7.0,4.0,139.0,1.55,2.0,0.0,5.0,0.0,7.0,0.0,0.0,5.0,0.0,5.0,10.4875862069,0.0,0.000310120689655,217.0,1.0,3.7173507462686564,2.0,0.0,5.0,0.0,0.2857142857142857,0.0,0.7142857142857143,0.0
44,Ni_Mo,-0.23976,-0.39497,0.0136,-2.17313,Ni,Mo,Ni,mp-23,Ni1,28.0,61.0,58.6934,1728.0,10.0,4.0,124.0,1.91,2.0,0.0,8.0,0.0,10.0,0.0,0.0,2.0,0.0,2.0,10.32,0.0,0.5953947,225.0,1.0,4.400393864013267,2.0,0.0,8.0,0.0,0.2,0.0,0.8,0.0,Mo,mp-129,Mo1,42.0,50.0,95.96,2896.0,6.0,5.0,154.0,2.16,1.0,0.0,5.0,0.0,6.0,1.0,0.0,5.0,0.0,6.0,15.69,0.0,0.0,229.0,1.0,3.918946932006633,1.0,0.0,5.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0
45,Ni_Os,0.331197,-0.15948,-0.305,-1.80423,Ni,Os,Ni,mp-23,Ni1,28.0,61.0,58.6934,1728.0,10.0,4.0,124.0,1.91,2.0,0.0,8.0,0.0,10.0,0.0,0.0,2.0,0.0,2.0,10.32,0.0,0.5953947,225.0,1.0,4.400393864013267,2.0,0.0,8.0,0.0,0.2,0.0,0.8,0.0,Os,mp-49,Os1,76.0,57.0,190.23,3306.0,8.0,6.0,144.0,2.2,2.0,0.0,6.0,14.0,22.0,0.0,0.0,4.0,0.0,4.0,14.09,0.0,0.0,194.0,1.0,4.903088723051409,2.0,0.0,6.0,14.0,0.09090909090909091,0.0,0.2727272727272727,0.6363636363636364
46,Ni_Re,-0.31458,-0.20116,-0.0658,-2.10421,Ni,Re,Ni,mp-23,Ni1,28.0,61.0,58.6934,1728.0,10.0,4.0,124.0,1.91,2.0,0.0,8.0,0.0,10.0,0.0,0.0,2.0,0.0,2.0,10.32,0.0,0.5953947,225.0,1.0,4.400393864013267,2.0,0.0,8.0,0.0,0.2,0.0,0.8,0.0,Re,mp-1186901,Re1,75.0,54.0,186.207,3459.0,7.0,6.0,151.0,1.9,2.0,0.0,5.0,14.0,21.0,0.0,0.0,5.0,0.0,5.0,14.655,0.0,0.0,194.0,1.0,4.013785240464345,2.0,0.0,5.0,14.0,0.09523809523809523,0.0,0.23809523809523808,0.6666666666666666
47,Ni_Ru,0.753134,0.393254,-0.2104,-1.14839,Ni,Ru,Ni,mp-23,Ni1,28.0,61.0,58.6934,1728.0,10.0,4.0,124.0,1.91,2.0,0.0,8.0,0.0,10.0,0.0,0.0,2.0,0.0,2.0,10.32,0.0,0.5953947,225.0,1.0,4.400393864013267,2.0,0.0,8.0,0.0,0.2,0.0,0.8,0.0,Ru,mp-33,Ru1,44.0,56.0,101.07,2607.0,8.0,5.0,146.0,2.2,1.0,0.0,7.0,0.0,8.0,1.0,0.0,3.0,0.0,4.0,13.51,0.0,0.0,194.0,1.0,4.205534825870647,1.0,0.0,7.0,0.0,0.125,0.0,0.875,0.0
48,Ni_Ta,-0.25836,-0.01444,-0.0477,-1.77172,Ni,Ta,Ni,mp-23,Ni1,28.0,61.0,58.6934,1728.0,10.0,4.0,124.0,1.91,2.0,0.0,8.0,0.0,10.0,0.0,0.0,2.0,0.0,2.0,10.32,0.0,0.5953947,225.0,1.0,4.400393864013267,2.0,0.0,8.0,0.0,0.2,0.0,0.8,0.0,Ta,mp-569794,Ta1,73.0,48.0,180.94788,3290.0,5.0,6.0,170.0,1.5,2.0,0.0,3.0,14.0,19.0,0.0,0.0,7.0,0.0,7.0,18.12,0.0,0.0,229.0,1.0,4.104477611940299,2.0,0.0,3.0,14.0,0.10526315789473684,0.0,0.15789473684210525,0.7368421052631579
49,Ni_Tc,-0.05907,0.48666,-0.0934,-1.26572,Ni,Tc,Ni,mp-23,Ni1,28.0,61.0,58.6934,1728.0,10.0,4.0,124.0,1.91,2.0,0.0,8.0,0.0,10.0,0.0,0.0,2.0,0.0,2.0,10.32,0.0,0.5953947,225.0,1.0,4.400393864013267,2.0,0.0,8.0,0.0,0.2,0.0,0.8,0.0,Tc,mp-113,Tc1,43.0,53.0,98.0,2430.0,7.0,5.0,147.0,1.9,2.0,0.0,5.0,0.0,7.0,0.0,0.0,5.0,0.0,5.0,14.285,0.0,0.0,194.0,1.0,3.9127280265339963,2.0,0.0,5.0,0.0,0.2857142857142857,0.0,0.7142857142857143,0.0
