,formula_pretty,material_id,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,transition metal fraction,band center,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons
3,Os,mp-49,Os1,76.0,76.0,0.0,76.0,0.0,76.0,57.0,57.0,0.0,57.0,0.0,57.0,190.23,190.23,0.0,190.23,0.0,190.23,3306.0,3306.0,0.0,3306.0,0.0,3306.0,8.0,8.0,0.0,8.0,0.0,8.0,6.0,6.0,0.0,6.0,0.0,6.0,144.0,144.0,0.0,144.0,0.0,144.0,2.2,2.2,0.0,2.2,0.0,2.2,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,14.0,14.0,0.0,14.0,0.0,14.0,22.0,22.0,0.0,22.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,14.09,14.09,0.0,14.09,0.0,14.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,194.0,0.0,194.0,0.0,194.0,1.0,4.903088723051409,2.0,0.0,6.0,14.0,0.09090909090909091,0.0,0.2727272727272727,0.6363636363636364
5,Re,mp-1186901,Re1,75.0,75.0,0.0,75.0,0.0,75.0,54.0,54.0,0.0,54.0,0.0,54.0,186.207,186.207,0.0,186.207,0.0,186.207,3459.0,3459.0,0.0,3459.0,0.0,3459.0,7.0,7.0,0.0,7.0,0.0,7.0,6.0,6.0,0.0,6.0,0.0,6.0,151.0,151.0,0.0,151.0,0.0,151.0,1.9,1.9,0.0,1.9,0.0,1.9,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,14.0,14.0,0.0,14.0,0.0,14.0,21.0,21.0,0.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,14.655,14.655,0.0,14.655,0.0,14.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,194.0,0.0,194.0,0.0,194.0,1.0,4.013785240464345,2.0,0.0,5.0,14.0,0.09523809523809523,0.0,0.23809523809523808,0.6666666666666666
10,Ru,mp-33,Ru1,44.0,44.0,0.0,44.0,0.0,44.0,56.0,56.0,0.0,56.0,0.0,56.0,101.07,101.07,0.0,101.07,0.0,101.07,2607.0,2607.0,0.0,2607.0,0.0,2607.0,8.0,8.0,0.0,8.0,0.0,8.0,5.0,5.0,0.0,5.0,0.0,5.0,146.0,146.0,0.0,146.0,0.0,146.0,2.2,2.2,0.0,2.2,0.0,2.2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,8.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,13.51,13.51,0.0,13.51,0.0,13.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,194.0,0.0,194.0,0.0,194.0,1.0,4.205534825870647,1.0,0.0,7.0,0.0,0.125,0.0,0.875,0.0
19,Ta,mp-569794,Ta1,73.0,73.0,0.0,73.0,0.0,73.0,48.0,48.0,0.0,48.0,0.0,48.0,180.94788,180.94788,0.0,180.94788,0.0,180.94788,3290.0,3290.0,0.0,3290.0,0.0,3290.0,5.0,5.0,0.0,5.0,0.0,5.0,6.0,6.0,0.0,6.0,0.0,6.0,170.0,170.0,0.0,170.0,0.0,170.0,1.5,1.5,0.0,1.5,0.0,1.5,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,14.0,14.0,0.0,14.0,0.0,14.0,19.0,19.0,0.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,7.0,0.0,7.0,18.12,18.12,0.0,18.12,0.0,18.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,229.0,0.0,229.0,0.0,229.0,1.0,4.104477611940299,2.0,0.0,3.0,14.0,0.10526315789473684,0.0,0.15789473684210525,0.7368421052631579
22,Tc,mp-113,Tc1,43.0,43.0,0.0,43.0,0.0,43.0,53.0,53.0,0.0,53.0,0.0,53.0,98.0,98.0,0.0,98.0,0.0,98.0,2430.0,2430.0,0.0,2430.0,0.0,2430.0,7.0,7.0,0.0,7.0,0.0,7.0,5.0,5.0,0.0,5.0,0.0,5.0,147.0,147.0,0.0,147.0,0.0,147.0,1.9,1.9,0.0,1.9,0.0,1.9,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,14.285,14.285,0.0,14.285,0.0,14.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,194.0,0.0,194.0,0.0,194.0,1.0,3.9127280265339963,2.0,0.0,5.0,0.0,0.2857142857142857,0.0,0.7142857142857143,0.0
25,V,mp-146,V1,23.0,23.0,0.0,23.0,0.0,23.0,46.0,46.0,0.0,46.0,0.0,46.0,50.9415,50.9415,0.0,50.9415,0.0,50.9415,2183.0,2183.0,0.0,2183.0,0.0,2183.0,5.0,5.0,0.0,5.0,0.0,5.0,4.0,4.0,0.0,4.0,0.0,4.0,153.0,153.0,0.0,153.0,0.0,153.0,1.63,1.63,0.0,1.63,0.0,1.63,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,7.0,0.0,7.0,13.01,13.01,0.0,13.01,0.0,13.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,229.0,0.0,229.0,0.0,229.0,1.0,3.6354684908789383,2.0,0.0,3.0,0.0,0.4,0.0,0.6,0.0
28,Ir,mp-101,Ir1,77.0,77.0,0.0,77.0,0.0,77.0,60.0,60.0,0.0,60.0,0.0,60.0,192.217,192.217,0.0,192.217,0.0,192.217,2739.0,2739.0,0.0,2739.0,0.0,2739.0,9.0,9.0,0.0,9.0,0.0,9.0,6.0,6.0,0.0,6.0,0.0,6.0,141.0,141.0,0.0,141.0,0.0,141.0,2.2,2.2,0.0,2.2,0.0,2.2,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,7.0,0.0,7.0,14.0,14.0,0.0,14.0,0.0,14.0,23.0,23.0,0.0,23.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,14.21,14.21,0.0,14.21,0.0,14.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,225.0,0.0,225.0,0.0,225.0,1.0,5.343076285240464,2.0,0.0,7.0,14.0,0.08695652173913043,0.0,0.30434782608695654,0.6086956521739131
36,Mn,mp-35,Mn1,25.0,25.0,0.0,25.0,0.0,25.0,52.0,52.0,0.0,52.0,0.0,52.0,54.938045,54.938045,0.0,54.938045,0.0,54.938045,1519.0,1519.0,0.0,1519.0,0.0,1519.0,7.0,7.0,0.0,7.0,0.0,7.0,4.0,4.0,0.0,4.0,0.0,4.0,139.0,139.0,0.0,139.0,0.0,139.0,1.55,1.55,0.0,1.55,0.0,1.55,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,10.4875862069,10.4875862069,0.0,10.4875862069,0.0,10.4875862069,0.0,0.0,0.0,0.0,0.0,0.0,0.000310120689655,0.000310120689655,0.0,0.000310120689655,0.0,0.000310120689655,217.0,217.0,0.0,217.0,0.0,217.0,1.0,3.7173507462686564,2.0,0.0,5.0,0.0,0.2857142857142857,0.0,0.7142857142857143,0.0
44,Mo,mp-129,Mo1,42.0,42.0,0.0,42.0,0.0,42.0,50.0,50.0,0.0,50.0,0.0,50.0,95.96,95.96,0.0,95.96,0.0,95.96,2896.0,2896.0,0.0,2896.0,0.0,2896.0,6.0,6.0,0.0,6.0,0.0,6.0,5.0,5.0,0.0,5.0,0.0,5.0,154.0,154.0,0.0,154.0,0.0,154.0,2.16,2.16,0.0,2.16,0.0,2.16,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,15.69,15.69,0.0,15.69,0.0,15.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,229.0,0.0,229.0,0.0,229.0,1.0,3.918946932006633,1.0,0.0,5.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0
47,Co,mp-102,Co1,27.0,27.0,0.0,27.0,0.0,27.0,58.0,58.0,0.0,58.0,0.0,58.0,58.933195,58.933195,0.0,58.933195,0.0,58.933195,1768.0,1768.0,0.0,1768.0,0.0,1768.0,9.0,9.0,0.0,9.0,0.0,9.0,4.0,4.0,0.0,4.0,0.0,4.0,126.0,126.0,0.0,126.0,0.0,126.0,1.88,1.88,0.0,1.88,0.0,1.88,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0,10.245,10.245,0.0,10.245,0.0,10.245,0.0,0.0,0.0,0.0,0.0,0.0,1.5484712,1.5484712,0.0,1.5484712,0.0,1.5484712,194.0,194.0,0.0,194.0,0.0,194.0,1.0,4.270833333333333,2.0,0.0,7.0,0.0,0.2222222222222222,0.0,0.7777777777777778,0.0
60,Cr,mp-90,Cr1,24.0,24.0,0.0,24.0,0.0,24.0,49.0,49.0,0.0,49.0,0.0,49.0,51.9961,51.9961,0.0,51.9961,0.0,51.9961,2180.0,2180.0,0.0,2180.0,0.0,2180.0,6.0,6.0,0.0,6.0,0.0,6.0,4.0,4.0,0.0,4.0,0.0,4.0,139.0,139.0,0.0,139.0,0.0,139.0,1.66,1.66,0.0,1.66,0.0,1.66,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,11.19,11.19,0.0,11.19,0.0,11.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,229.0,0.0,229.0,0.0,229.0,1.0,3.7168325041459367,1.0,0.0,5.0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0
67,Fe,mp-13,Fe1,26.0,26.0,0.0,26.0,0.0,26.0,55.0,55.0,0.0,55.0,0.0,55.0,55.845,55.845,0.0,55.845,0.0,55.845,1811.0,1811.0,0.0,1811.0,0.0,1811.0,8.0,8.0,0.0,8.0,0.0,8.0,4.0,4.0,0.0,4.0,0.0,4.0,132.0,132.0,0.0,132.0,0.0,132.0,1.83,1.83,0.0,1.83,0.0,1.83,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,10.73,10.73,0.0,10.73,0.0,10.73,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.0,2.1106628,0.0,2.1106628,229.0,229.0,0.0,229.0,0.0,229.0,1.0,4.032960199004975,2.0,0.0,6.0,0.0,0.25,0.0,0.75,0.0
78,W,mp-91,W1,74.0,74.0,0.0,74.0,0.0,74.0,51.0,51.0,0.0,51.0,0.0,51.0,183.84,183.84,0.0,183.84,0.0,183.84,3695.0,3695.0,0.0,3695.0,0.0,3695.0,6.0,6.0,0.0,6.0,0.0,6.0,6.0,6.0,0.0,6.0,0.0,6.0,162.0,162.0,0.0,162.0,0.0,162.0,2.36,2.36,0.0,2.36,0.0,2.36,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,4.0,14.0,14.0,0.0,14.0,0.0,14.0,20.0,20.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0,16.05,16.05,0.0,16.05,0.0,16.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,229.0,0.0,229.0,0.0,229.0,1.0,4.397802653399668,2.0,0.0,4.0,14.0,0.1,0.0,0.2,0.7
